Ticker,Company,Sector,Industry,Country,Market Cap,Price
SJM,J.M. Smucker Co,Consumer Defensive,Packaged Foods,USA,11630000000.0,109.03
SLB,Schlumberger Ltd,Energy,Oil & Gas Equipment & Services,USA,49320000000.0,32.86
SMCI,Super Micro Computer Inc,Technology,Computer Hardware,USA,27930000000.0,46.79
SNA,"Snap-on, Inc",Industrials,Tools & Accessories,USA,16860000000.0,323.19
SNPS,"Synopsys, Inc",Technology,Software - Infrastructure,USA,115820000000.0,625.88
SO,Southern Company,Utilities,Utilities - Regulated Electric,USA,104150000000.0,94.68
SOLV,Solventum Corp,Healthcare,Medical Instruments & Supplies,USA,12560000000.0,72.57
SPG,"Simon Property Group, Inc",Real Estate,REIT - Retail,USA,63180000000.0,167.53
SPGI,S&P Global Inc,Financial,Financial Data & Stock Exchanges,USA,171750000000.0,562.56
SRE,Sempra,Utilities,Utilities - Diversified,USA,52920000000.0,81.15
STE,Steris Plc,Healthcare,Medical Devices,Ireland,21760000000.0,221.21
STLD,Steel Dynamics Inc,Basic Materials,Steel,USA,18150000000.0,122.23
STT,State Street Corp,Financial,Asset Management,USA,31420000000.0,110.76
STX,Seagate Technology Holdings Plc,Technology,Computer Hardware,USA,31320000000.0,147.27
STZ,Constellation Brands Inc,Consumer Defensive,Beverages - Brewers,USA,29820000000.0,169.16
SW,Smurfit WestRock plc,Consumer Cyclical,Packaging & Containers,Ireland,22180000000.0,42.63
SWK,Stanley Black & Decker Inc,Industrials,Tools & Accessories,USA,10570000000.0,68.27
SWKS,"Skyworks Solutions, Inc",Technology,Semiconductors,USA,10140000000.0,67.52
SYF,Synchrony Financial,Financial,Credit Services,USA,25840000000.0,69.45
SYK,Stryker Corp,Healthcare,Medical Devices,USA,143340000000.0,374.94
SYY,Sysco Corp,Consumer Defensive,Food Distribution,USA,39490000000.0,81.47
T,"AT&T, Inc",Communication Services,Telecom Services,USA,196560000000.0,27.49
TAP,Molson Coors Beverage Company,Consumer Defensive,Beverages - Brewers,USA,10660000000.0,50.21
TDG,Transdigm Group Incorporated,Industrials,Aerospace & Defense,USA,78700000000.0,1401.22
TDY,Teledyne Technologies Inc,Technology,Scientific & Technical Instruments,USA,25740000000.0,548.96
TECH,Bio-Techne Corp,Healthcare,Biotechnology,USA,7820000000.0,49.87
TEL,TE Connectivity plc,Technology,Electronic Components,Ireland,59110000000.0,200.05
TER,"Teradyne, Inc",Technology,Semiconductor Equipment & Materials,USA,16680000000.0,104.88
TFC,Truist Financial Corporation,Financial,Banks - Regional,USA,55460000000.0,43.01
TGT,Target Corp,Consumer Defensive,Discount Stores,USA,47890000000.0,105.39
TJX,"TJX Companies, Inc",Consumer Cyclical,Apparel Retail,USA,147370000000.0,132.1
TKO,TKO Group Holdings Inc,Communication Services,Entertainment,USA,30800000000.0,155.61
TMO,Thermo Fisher Scientific Inc,Healthcare,Diagnostics & Research,USA,169530000000.0,448.94
TMUS,T-Mobile US Inc,Communication Services,Telecom Services,USA,269220000000.00003,239.22
TPL,Texas Pacific Land Corporation,Energy,Oil & Gas E&P,USA,21850000000.0,950.62
TPR,Tapestry Inc,Consumer Cyclical,Luxury Goods,USA,23290000000.0,112.15
TRGP,Targa Resources Corp,Energy,Oil & Gas Midstream,USA,35370000000.0,163.05
TRMB,Trimble Inc,Technology,Scientific & Technical Instruments,USA,20070000000.0,84.13
TROW,T. Rowe Price Group Inc,Financial,Asset Management,USA,23160000000.0,105.42
TRV,Travelers Companies Inc,Financial,Insurance - Property & Casualty,USA,60240000000.0,267.58
TSCO,Tractor Supply Co,Consumer Cyclical,Specialty Retail,USA,31940000000.0,60.25
TSLA,Tesla Inc,Consumer Cyclical,Auto Manufacturers,USA,1031849999999.9999,319.91
TSN,"Tyson Foods, Inc",Consumer Defensive,Farm Products,USA,19560000000.0,56.07
TT,Trane Technologies plc,Industrials,Building Products & Equipment,Ireland,95020000000.0,427.03
TTD,Trade Desk Inc,Communication Services,Advertising Agencies,USA,43800000000.0,89.58
TTWO,"Take-Two Interactive Software, Inc",Communication Services,Electronic Gaming & Multimedia,USA,41910000000.0,227.21
TXN,Texas Instruments Inc,Technology,Semiconductors,USA,169020000000.0,185.91
TXT,Textron Inc,Industrials,Aerospace & Defense,USA,13810000000.0,77.47
TYL,"Tyler Technologies, Inc",Technology,Software - Application,USA,26470000000.0,611.76
UAL,United Airlines Holdings Inc,Industrials,Airlines,USA,28770000000.0,88.87
UBER,Uber Technologies Inc,Technology,Software - Application,USA,186570000000.0,89.22
UDR,UDR Inc,Real Estate,REIT - Residential,USA,12700000000.0,38.33
UHS,"Universal Health Services, Inc",Healthcare,Medical Care Facilities,USA,10530000000.0,163.48
ULTA,Ulta Beauty Inc,Consumer Cyclical,Specialty Retail,USA,23200000000.0,516.19
UNH,Unitedhealth Group Inc,Healthcare,Healthcare Plans,USA,222960000000.0,245.78
UNP,Union Pacific Corp,Industrials,Railroads,USA,133710000000.00002,225.46
UPS,"United Parcel Service, Inc",Industrials,Integrated Freight & Logistics,USA,73040000000.0,86.25
URI,"United Rentals, Inc",Industrials,Rental & Leasing Services,USA,55410000000.0,861.26
USB,U.S. Bancorp,Financial,Banks - Regional,USA,69240000000.0,44.44
V,Visa Inc,Financial,Credit Services,USA,654540000000.0,339.74
VICI,VICI Properties Inc,Real Estate,REIT - Diversified,USA,35200000000.0,33.01
VLO,Valero Energy Corp,Energy,Oil & Gas Refining & Marketing,USA,41460000000.0,133.46
VLTO,Veralto Corp,Industrials,Pollution & Treatment Controls,USA,26670000000.0,107.48
VMC,Vulcan Materials Co,Basic Materials,Building Materials,USA,37200000000.0,281.59
VRSK,Verisk Analytics Inc,Industrials,Consulting Services,USA,37020000000.0,264.98
VRSN,Verisign Inc,Technology,Software - Infrastructure,USA,25520000000.0,273.22
VRTX,"Vertex Pharmaceuticals, Inc",Healthcare,Biotechnology,USA,99030000000.0,385.65
VST,Vistra Corp,Utilities,Utilities - Independent Power Producers,USA,68150000000.00001,200.85
VTR,Ventas Inc,Real Estate,REIT - Healthcare Facilities,USA,31920000000.0,68.5
VTRS,Viatris Inc,Healthcare,Drug Manufacturers - Specialty & Generic,USA,10270000000.0,8.75
VZ,Verizon Communications Inc,Communication Services,Telecom Services,USA,178560000000.0,42.35
WAB,Westinghouse Air Brake Technologies Corp,Industrials,Railroads,USA,32200000000.000004,188.35
WAT,Waters Corp,Healthcare,Diagnostics & Research,USA,16530000000.000002,277.72
WBA,Walgreens Boots Alliance Inc,Healthcare,Pharmaceutical Retailers,USA,10240000000.0,11.83
WBD,Warner Bros. Discovery Inc,Communication Services,Entertainment,USA,31640000000.0,12.79
WDAY,Workday Inc,Technology,Software - Application,USA,61160000000.0,229.08
WDC,Western Digital Corp,Technology,Computer Hardware,USA,25740000000.0,73.78
WEC,WEC Energy Group Inc,Utilities,Utilities - Regulated Electric,USA,35320000000.0,109.73
WELL,Welltower Inc,Real Estate,REIT - Healthcare Facilities,USA,112860000000.0,168.96
WFC,Wells Fargo & Co,Financial,Banks - Diversified,USA,252560000000.0,77.61
WM,"Waste Management, Inc",Industrials,Waste Management,USA,93300000000.0,231.6
WMB,Williams Cos Inc,Energy,Oil & Gas Midstream,USA,71610000000.0,58.64
WMT,Walmart Inc,Consumer Defensive,Discount Stores,USA,824860000000.0,103.36
WRB,W.R. Berkley Corp,Financial,Insurance - Property & Casualty,USA,26760000000.0,70.55
WSM,"Williams-Sonoma, Inc",Consumer Cyclical,Specialty Retail,USA,24690000000.0,200.75
WST,"West Pharmaceutical Services, Inc",Healthcare,Medical Instruments & Supplies,USA,17059999999.999998,237.28
WTW,Willis Towers Watson Public Limited Co,Financial,Insurance Brokers,United Kingdom,31760000000.0,325.54
WY,Weyerhaeuser Co,Real Estate,REIT - Specialty,USA,18430000000.0,25.55
WYNN,Wynn Resorts Ltd,Consumer Cyclical,Resorts & Casinos,USA,11210000000.0,107.21
XEL,"Xcel Energy, Inc",Utilities,Utilities - Regulated Electric,USA,43350000000.0,73.3
XOM,Exxon Mobil Corp,Energy,Oil & Gas Integrated,USA,454080000000.0,106.51
XYL,Xylem Inc,Industrials,Specialty Industrial Machinery,USA,34960000000.0,143.62
XYZ,Block Inc,Technology,Software - Infrastructure,USA,46820000000.0,76.13
YUM,Yum Brands Inc,Consumer Cyclical,Restaurants,USA,39290000000.0,141.34
ZBH,Zimmer Biomet Holdings Inc,Healthcare,Medical Devices,USA,18030000000.0,91.15
ZBRA,Zebra Technologies Corp,Technology,Communication Equipment,USA,15680000000.0,308.31
ZTS,Zoetis Inc,Healthcare,Drug Manufacturers - Specialty & Generic,USA,65220000000.0,146.5
